year,faculty,plan_code,plan_code_raw,programme_code,dept_code,degree_name,degree_abbrev,specialisation,variant,source_page,notes
2025,COM,CB024INF01,,CB024,INF01,Bachelor of Business Science,BBusSc,Information Systems,augmented,62,"Students who complete CSC1015F can complete CSC1016S in first year in substitution for INF1003F | in second year. | Unless otherwise agreed by the Head of Department, candidates will be expected to obtain an overall | credit weighted average of 65% for their third year Information Systems major courses and at least | 55% for each course to be considered for a place in the 4th year Information Systems courses. Places | may be limited. Students who do not qualify for 4th year Information Systems courses will be required | to change their specialisation or degree in consultation with the Head of Department. | Bachelor of Business Science specialising in ECONOMICS"
2025,COM,CB024ECO01,,CB024,ECO01,Bachelor of Business Science,BBusSc,Economics,augmented,63,"in addition to BUS4050H*** .......................................................... | * Students wishing to register for MAM2010F, MAM2011F, MAM2012S, MAM2013S, MAM2014S | after completing MAM1010F/S and MAM1012F/S must obtain permission from the Convenor in the | Mathematics Department. | ** Students who take STA3022 cannot take STA3000 level courses and must, therefore, take | FTX2024. | *** Students have an option to choose three electives. | As a rule, a 65% average for 3rd year Economics courses and at least 60% for ECO3020F, ECO3021S | and another 3rd year level economics establishes the right to be considered for a place in the | Economics 4th year class. Students who obtain less than 50% for ECO4112F will not be allowed to | continue with the programme. Students who do not qualify for admission to the 4th year Economics | courses or who have obtained less than 50% in ECO4112F will be required to change their | specialisation or degree in consultation with the Head of Department. Subject to the approval of the | Graduate Convener, students may substitute a maximum of one of the options with an NQF level 8 | course of a similar credit value offered in another department. Students’ may carry one semester | course to the honours year (only F or S. Students will not be allowed to carry any H or W courses). | Bachelor of Business Science specialising in ECONOMICS with LAW"
2025,COM,CB024ECO03,,CB024,ECO03,Bachelor of Business Science,BBusSc,Economics with Law,augmented,65,"*Places on the Law Courses in the 2nd and 3rd year are limited. To be eligible for consideration for a | possible (but not guaranteed) place, students wishing to apply to take Law courses in 2nd and 3rd year | need to fulfil all the requirements set out in Promotion Rule for Law degrees. | ** Students have an option to choose three electives. | (i) As a rule, a 65% average for 3rd year Economics courses and at least 60% for ECO3020F, | ECO3021S and another 3rd year level economics establishes the right to be considered for a place in | the Economics 4th year class. Students who obtain less than 40% for ECO4112F will not be allowed | to continue with the programme. Students who do not qualify for admission to the 4th year Economics | courses or who have obtained less than 40% in ECO4112F will be required to change their | specialisation or degree in consultation with the Head of Department. | (ii) CB004 readmission rules apply to CB024, however if you fail 2 courses in the first semester of | the first year, your registration will be changed to the extended version (CB015ECO03).Subject to the | approval of the Graduate Convener, students may substitute a maximum of one of the options with an | NQF level 8 course of a similar credit value offered in another department. Students may carry one | semester course to the honours year (only F or S. Students will not be allowed to carry any H or W | courses). | (iii) The pre-requisites for registering for the PVL courses are receipt of confirmation of place on those | courses and fulfilment of all the requirements set out in Promotion Rule. | Bachelor of Business Science specialising in MARKETING"
2025,COM,CB024BUS07,,CB024,BUS07,Bachelor of Business Science,BBusSc,Marketing,augmented,67,"As a rule, at least a 65% average across all 3rd year Marketing courses establishes a right to be | considered for a place in Marketing 4th year. Students who do not qualify for admission to the 4th year | will be required to change their specialisation or degree in consultation with the Head of the School | of Management Studies. | Bachelor of Business Science specialising in ORGANISATIONAL PSYCHOLOGY"
2025,COM,CB024BUS08,,CB024,BUS08,Bachelor of Business Science,BBusSc,Organisational Psychology,augmented,68,"As a rule, at least a 65% average in 3rd year Organisational Psychology is required for admission to | the Organisational Psychology 4th year. In exceptional circumstances, students may apply to the Head | of Section for a concession to this rule. Students who are not admitted to the Organisational | Psychology 4th year will be required to change their specialisation or degree in consultation with the | Head of the School of Management Studies. | Bachelor of Business Science in ACTUARIAL SCIENCE"
2025,COM,CB018BUS01,,CB018,BUS01,Bachelor of Business Science,BBusSc,Actuarial Science,extended,69,Bachelor of Business Science in ACTUARIAL SCIENCE specialising in QUANTITATIVE | FINANCE
2025,COM,CB018BUS09,,CB018,BUS09,Bachelor of Business Science,BBusSc,Actuarial Science: Quantitative Finance,extended,70,* STA1106H is compulsory for students following the Mathematical Statistics option in the second | and subsequent years. | If students move from MAM1031F/MAM1032S to MAM1005H they will have to deregister from | STA1006S and register for it concurrently with MAM1006H. | **The STA4010W course starts two weeks before the undergraduate academic year. | Bachelor of Business Science specialising in Statistics and Data Sciences
2025,COM,CB015STA13,,CB015,STA13,Bachelor of Business Science,BBusSc,Statistics and Data Sciences,extended,72,"Mathematical Statistical Option:* ............................................... | Applied Statistics Option:* ........................................................... | *STA1106H is compulsory for students following the Mathematical Statistics option in the second | and subsequent years. | **MAM2010F and MAM2011F are compulsory courses. Students may choose 2 courses from | MAM2012S, MAM2013S or MAM2014S. | ***The STA4010W course starts two weeks before the undergraduate academic year. Unless | otherwise agreed by the Head of the Department of Statistical Sciences, candidates will be required | to obtain at least a 65% average for their 3rd year Statistics courses at the first attempt to be accepted | into STA4010W. | NB: Students who move from MAM1031F/MAM1032S to MAM1005H, will have to deregister from | STA1106H and register for it concurrently with MAM1006H. | CSC1011H (4th period in first semester and 5th period in second semester). | Bachelor of Business Science specialising in FINANCE, INVESTMENT AND BANKING"
2025,COM,CB015FTX05,,CB015,FTX05,Bachelor of Business Science,BBusSc,"Finance, Investment and Banking",extended,73,Candidates will be required to obtain at least a 60% average for their 3rd year finance courses in | order to be accepted into FTX4000 level courses. | Bachelor of Business Science specialising in FINANCE with ACCOUNTING
2025,COM,CB015FTX04,,CB015,FTX04,Bachelor of Business Science,BBusSc,Finance with Accounting,extended,74,"(i) This curriculum is designed to facilitate entry into the Accounting profession. After graduating, | candidates may apply for admission to the Postgraduate Diploma in Accounting. Passing the diploma | is a prerequisite for entry to the SAICA Initial Test of Competence. | (ii) Students may replace Financial Reporting III (ACC3009W) with Financial Reporting & Analysis | (ACC3020W), but this option will not meet the requirements for admission to the Postgraduate | Diploma in Accounting. | (iii) Candidates will be required to obtain at least a 60% average for their 3rd year finance courses in | order to be accepted into FTX4000 level courses. | Bachelor of Business Science specialising in COMPUTER SCIENCE"
