year,faculty,plan_code,degree_abbrev,specialisation,variant,study_year,credits_ideal,credits_unresolved_slots,credits_stated,stated_is_minimum,credit_delta,fee_ideal_zar,fee_estimated_component_zar,fee_slots_missing,fee_published_zar,fee_published_label,fee_match_method,fee_delta_pct
2021,COM,CB011ACC03,BCom,Financial Accounting: Accounting with Law,extended,1,113,0,113,False,0,51540,0,0,51540,BCom Academic Development specialising in Financial Accounting: Accounting with Law Stream,ad_duration,0.0
2021,COM,CB011ACC03,BCom,Financial Accounting: Accounting with Law,extended,2,126,0,126,False,0,59620,0,0,59620,BCom Academic Development specialising in Financial Accounting: Accounting with Law Stream,ad_duration,0.0
2021,COM,CB011ACC03,BCom,Financial Accounting: Accounting with Law,extended,3,126,0,126,False,0,57120,0,0,57120,BCom Academic Development specialising in Financial Accounting: Accounting with Law Stream,ad_duration,0.0
2021,COM,CB011ACC03,BCom,Financial Accounting: Accounting with Law,extended,4,90,0,90,False,0,40020,0,0,40020,BCom Academic Development specialising in Financial Accounting: Accounting with Law Stream,ad_duration,0.0
2021,COM,CB011ACC04,BCom,Financial Accounting: Chartered Accountant,extended,1,131,0,131,False,0,59890,0,0,59950,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,ad_duration,-0.1
2021,COM,CB011ACC04,BCom,Financial Accounting: Chartered Accountant,extended,2,144,0,144,False,0,67960,0,0,67960,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,ad_duration,0.0
2021,COM,CB011ACC04,BCom,Financial Accounting: Chartered Accountant,extended,3,126,0,126,False,0,58390,0,0,58390,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,ad_duration,0.0
2021,COM,CB011ACC04,BCom,Financial Accounting: Chartered Accountant,extended,4,108,0,108,False,0,51420,0,0,51420,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,ad_duration,0.0
2021,COM,CB011ACC08,BCom,Financial Accounting: General Accounting,extended,1,131,0,131,False,0,59890,0,0,59890,BCom Academic Development specialising in Financial Accounting General Accounting Stream,ad_duration,0.0
2021,COM,CB011ACC08,BCom,Financial Accounting: General Accounting,extended,2,126,0,126,False,0,59360,0,0,59360,BCom Academic Development specialising in Financial Accounting General Accounting Stream,ad_duration,0.0
2021,COM,CB011ACC08,BCom,Financial Accounting: General Accounting,extended,3,108,0,126,False,-18,51500,0,0,50760,BCom Academic Development specialising in Financial Accounting General Accounting Stream,ad_duration,1.5
2021,COM,CB011ACC08,BCom,Financial Accounting: General Accounting,extended,4,108,0,108,False,0,49810,0,0,49810,BCom Academic Development specialising in Financial Accounting General Accounting Stream,ad_duration,0.0
2021,COM,CB011BUS06,,,extended,1,131,0,131,False,0,59400,0,0,,,unmatched,
2021,COM,CB011BUS06,,,extended,2,108,0,108,False,0,51230,8540,0,,,unmatched,
2021,COM,CB011BUS06,,,extended,3,132,0,132,False,0,62430,17200,0,,,unmatched,
2021,COM,CB011BUS06,,,extended,4,18,0,126,False,-108,8600,0,1,,,unmatched,
2021,COM,CB011ECO02,BCom,Economics and Finance,extended,1,113,0,113,False,0,51290,0,0,51290,BCom Academic Development specialising in Economics & Finance,ad_duration,0.0
2021,COM,CB011ECO02,BCom,Economics and Finance,extended,2,108,0,108,False,0,50800,0,0,50800,BCom Academic Development specialising in Economics & Finance,ad_duration,0.0
2021,COM,CB011ECO02,BCom,Economics and Finance,extended,3,114,0,132,False,-18,53830,0,0,67350,BCom Academic Development specialising in Economics & Finance,ad_duration,-20.1
2021,COM,CB011ECO02,BCom,Economics and Finance,extended,4,108,0,108,False,0,51600,0,1,51600,BCom Academic Development specialising in Economics & Finance,ad_duration,0.0
2021,COM,CB011ECO03,BCom,Economics with Law,extended,1,131,0,131,False,0,59890,0,0,59890,BCom Academic Development specialising in Economics with Law,ad_duration,0.0
2021,COM,CB011ECO03,BCom,Economics with Law,extended,2,204,0,108,False,96,92860,0,1,51370,BCom Academic Development specialising in Economics with Law,ad_duration,80.8
2021,COM,CB011ECO03,BCom,Economics with Law,extended,3,108,0,108,False,0,48620,0,0,57220,BCom Academic Development specialising in Economics with Law,ad_duration,-15.0
2021,COM,CB011ECO03,BCom,Economics with Law,extended,4,108,0,198,False,-90,48620,0,0,57220,BCom Academic Development specialising in Economics with Law,ad_duration,-15.0
2021,COM,CB011ECO04,BCom,Economics and Statistics,extended,1,131,0,113,False,18,60080,0,0,51540,BCom Academic Development specialising in Economics & Statistics,ad_duration,16.6
2021,COM,CB011ECO04,BCom,Economics and Statistics,extended,2,126,0,108,False,18,59090,0,0,50550,BCom Academic Development specialising in Economics & Statistics,ad_duration,16.9
2021,COM,CB011ECO04,BCom,Economics and Statistics,extended,3,144,0,144,True,0,67560,8600,0,58750,BCom Academic Development specialising in Economics & Statistics,ad_duration,15.0
2021,COM,CB011ECO04,BCom,Economics and Statistics,extended,4,162,0,162,False,0,76220,8600,0,76220,BCom Academic Development specialising in Economics & Statistics,ad_duration,0.0
2021,COM,CB011INF01,BCom,Information Systems,extended,1,113,0,113,False,0,51540,0,0,51540,BCom Academic Development specialising in Information Systems,ad_duration,0.0
2021,COM,CB011INF01,BCom,Information Systems,extended,2,108,0,108,False,0,51660,0,0,51660,BCom Academic Development specialising in Information Systems,ad_duration,0.0
2021,COM,CB011INF01,BCom,Information Systems,extended,3,120,0,120,False,0,59800,8540,0,68460,BCom Academic Development specialising in Information Systems,ad_duration,-12.6
2021,COM,CB011INF01,BCom,Information Systems,extended,4,108,0,108,False,0,50630,17200,0,50630,BCom Academic Development specialising in Information Systems,ad_duration,0.0
2021,COM,CB011INF06,BCom,Information Systems and Computer Science,extended,1,113,0,113,False,0,51290,0,0,51290,BCom Academic Development specialising in Information Systems & Computer Science,ad_duration,0.0
2021,COM,CB011INF06,BCom,Information Systems and Computer Science,extended,2,108,0,108,False,0,50070,0,0,50070,BCom Academic Development specialising in Information Systems & Computer Science,ad_duration,0.0
2021,COM,CB011INF06,BCom,Information Systems and Computer Science,extended,3,108,0,108,False,0,50410,0,0,61470,BCom Academic Development specialising in Information Systems & Computer Science,ad_duration,-18.0
2021,COM,CB011INF06,BCom,Information Systems and Computer Science,extended,4,126,0,126,False,0,59020,0,0,59020,BCom Academic Development specialising in Information Systems & Computer Science,ad_duration,0.0
2021,COM,CB011INF11,BCom,Information Systems and Finance,extended,1,131,0,131,False,0,60140,0,0,60140,BCom Academic Development specialising in Information Systems & Finance,ad_duration,0.0
2021,COM,CB011INF11,BCom,Information Systems and Finance,extended,2,108,0,108,False,0,51410,0,0,51410,BCom Academic Development specialising in Information Systems & Finance,ad_duration,0.0
2021,COM,CB011INF11,BCom,Information Systems and Finance,extended,3,126,0,126,False,0,60140,0,0,60140,BCom Academic Development specialising in Information Systems & Finance,ad_duration,0.0
2021,COM,CB011INF11,BCom,Information Systems and Finance,extended,4,114,0,114,False,0,53090,0,0,53090,BCom Academic Development specialising in Information Systems & Finance,ad_duration,0.0
2021,COM,CB011PHI03,BCom,"Philosophy, Politics & Economics",extended,1,113,0,113,False,0,49080,0,0,49080,"BCom Academic Development specialising in Philosophy, Politics & Economics",ad_duration,0.0
2021,COM,CB011PHI03,BCom,"Philosophy, Politics & Economics",extended,2,108,0,108,False,0,51350,0,0,51350,"BCom Academic Development specialising in Philosophy, Politics & Economics",ad_duration,0.0
2021,COM,CB011PHI03,BCom,"Philosophy, Politics & Economics",extended,3,198,0,102,False,96,86460,0,0,44980,"BCom Academic Development specialising in Philosophy, Politics & Economics",ad_duration,92.2
2021,COM,CB011PHI03,BCom,"Philosophy, Politics & Economics",extended,4,222,3,162,True,60,88020,10370,3,82710,"BCom Academic Development specialising in Philosophy, Politics & Economics",ad_duration,6.4
2021,COM,CB015BUS07,,,extended,1,131,0,131,False,0,59150,0,0,,,unmatched,
2021,COM,CB015BUS07,,,extended,2,132,0,132,False,0,62600,0,0,,,unmatched,
2021,COM,CB015BUS07,,,extended,3,108,0,108,False,0,51370,0,0,,,unmatched,
2021,COM,CB015BUS07,,,extended,4,144,0,144,False,0,59610,0,1,,,unmatched,
2021,COM,CB015BUS07,,,extended,5,180,0,180,False,0,84360,0,0,,,unmatched,
2021,COM,CB015BUS08,,,extended,1,131,0,131,False,0,58250,0,0,,,unmatched,
2021,COM,CB015BUS08,,,extended,2,132,0,132,False,0,62600,0,0,,,unmatched,
