year,faculty,plan_code,study_year,table_index,stated_total_credits,stated_total_max,is_minimum,source_page
2021,EBE,EB809EEE01,4,1,122,,False,49
2021,EBE,EB810MEC05,1,1,102,,False,66
2021,EBE,EB810MEC05,2,1,98,,False,66
2021,EBE,EB810MEC05,3,1,114,,False,67
2021,EBE,EB810MEC05,4,1,136,,False,67
2021,EBE,EB810MEC05,5,1,126,,False,67
2021,EBE,EB811EEE05,1,1,96,,False,57
2021,EBE,EB811EEE05,2,1,116,,False,58
2021,EBE,EB811EEE05,3,1,112,,False,58
2021,EBE,EB811EEE05,4,1,122,,False,58
2021,EBE,EB819APG09,1,1,124,,False,23
2021,EBE,EB819APG09,2,1,110,,False,24
2021,EBE,EB819APG09,3,1,102,,False,24
2021,EBE,EB819APG09,4,1,136,,False,24
2021,EBE,EB819APG09,5,1,106,,False,24
2021,EBE,EB819APG11,1,1,126,,False,26
2021,EBE,EB819APG11,2,1,110,,False,27
2021,EBE,EB819APG11,3,1,150,,False,27
2021,EBE,EB819APG11,4,1,142,,False,27
2021,EBE,EB819APG11,5,1,80,,False,27
2021,EBE,EB822EEE02,1,1,96,,False,53
2021,EBE,EB822EEE02,2,1,116,,False,53
2021,EBE,EB822EEE02,3,1,120,,False,53
2022,COM,CB001ACC03,1,1,149,,False,87
2022,COM,CB001ACC03,2,1,162,,False,87
2022,COM,CB001ACC03,3,1,144,,False,87
2022,COM,CB001ACC04,1,1,149,,False,86
2022,COM,CB001ACC04,2,1,162,,False,86
2022,COM,CB001ACC04,3,1,144,,False,87
2022,COM,CB001ACC08,1,1,149,,False,85
2022,COM,CB001ACC08,2,1,144,,False,86
2022,COM,CB001ACC08,3,1,144,,False,86
2022,COM,CB001BUS06,1,1,185,,False,96
2022,COM,CB001BUS06,2,1,168,,False,96
2022,COM,CB001BUS06,3,1,144,,False,97
2022,COM,CB001ECO02,1,1,167,,False,92
2022,COM,CB001ECO02,2,1,150,,True,92
2022,COM,CB001ECO02,3,1,144,,False,93
2022,COM,CB001ECO03,1,1,149,,False,95
2022,COM,CB001ECO03,2,1,162,,True,95
2022,COM,CB001ECO03,3,1,144,,False,95
2022,COM,CB001ECO04,1,1,167,,False,93
2022,COM,CB001ECO04,2,1,156,,False,94
2022,COM,CB001ECO04,3,1,180,,False,94
2022,COM,CB001INF01,1,1,149,,False,88
2022,COM,CB001INF01,2,1,144,,False,88
2022,COM,CB001INF01,3,1,156,,False,88
2022,COM,CB001INF06,1,1,149,,False,89
2022,COM,CB001INF06,2,1,162,,False,89
2022,COM,CB001INF06,3,1,144,,False,89
2022,COM,CB001INF11,1,1,167,,False,90
